objid,sample,asset_id,OBJID,RA,DEC,NVOTE,P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED,SPIRAL,ELLIPTICAL,UNCERTAIN,image_path
587722983355515025,original,1003,587722983355515025,12:43:52.45,+00:04:31.7,28,0.393,0.25,0.071,0.179,0.071,0.036,0.5,0.181,0.69,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1003.jpg
587722983355515068,original,1004,587722983355515068,12:44:06.06,+00:02:05.9,56,0.857,0.0,0.036,0.054,0.036,0.018,0.089,0.792,0.151,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1004.jpg
587722983355777142,original,1005,587722983355777142,12:46:47.45,+00:07:02.8,35,0.829,0.086,0.057,0.0,0.029,0.0,0.143,0.653,0.312,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\1005.jpg
587722983355777191,original,1006,587722983355777191,12:46:23.35,+00:10:51.5,27,0.556,0.037,0.037,0.259,0.074,0.037,0.333,0.284,0.567,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1006.jpg
587722983355777200,original,1007,587722983355777200,12:46:28.70,+00:00:05.2,23,0.217,0.522,0.0,0.261,0.0,0.0,0.783,0.127,0.873,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1007.jpg
587722983355777219,original,1008,587722983355777219,12:46:34.49,+00:07:43.9,63,0.921,0.016,0.0,0.032,0.032,0.0,0.048,0.829,0.134,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1008.jpg
587722983355842686,original,1009,587722983355842686,12:47:11.96,+00:11:16.1,32,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1009.jpg
587722983355842722,original,1010,587722983355842722,12:46:48.98,+00:03:37.5,27,0.926,0.0,0.0,0.074,0.0,0.0,0.074,0.785,0.215,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1010.jpg
587722983355842732,original,1011,587722983355842732,12:46:50.57,+00:01:34.3,63,0.746,0.048,0.016,0.127,0.063,0.0,0.19,0.422,0.474,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1011.jpg
587722983355842756,original,1012,587722983355842756,12:46:58.69,+00:06:58.9,36,0.278,0.056,0.083,0.528,0.056,0.0,0.667,0.144,0.795,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1012.jpg
587722983355842807,original,1013,587722983355842807,12:47:10.11,+00:06:03.7,33,0.545,0.0,0.061,0.394,0.0,0.0,0.455,0.345,0.655,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1013.jpg
587722983355842825,original,1014,587722983355842825,12:47:15.43,+00:07:16.8,49,0.245,0.0,0.49,0.143,0.082,0.041,0.633,0.245,0.633,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1014.jpg
587722983355908138,original,1015,587722983355908138,12:47:47.09,+00:03:28.8,26,0.692,0.0,0.0,0.308,0.0,0.0,0.308,0.4,0.6,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1015.jpg
587722983355908235,original,1016,587722983355908235,12:47:37.97,+00:03:27.0,40,0.85,0.0,0.0,0.125,0.025,0.0,0.125,0.666,0.301,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1016.jpg
587722983355908291,original,1017,587722983355908291,12:47:52.43,+00:00:45.0,34,0.294,0.088,0.029,0.588,0.0,0.0,0.706,0.108,0.892,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1017.jpg
587722983355908300,original,1018,587722983355908300,12:47:53.95,+00:04:26.1,50,0.68,0.0,0.0,0.02,0.04,0.26,0.02,0.643,0.04,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1018.jpg
587722983355908308,original,1019,587722983355908308,12:47:55.07,+00:03:35.5,29,0.103,0.0,0.828,0.0,0.069,0.0,0.828,0.03,0.897,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1019.jpg
587722983355973770,original,1020,587722983355973770,12:48:17.88,+00:03:54.7,25,0.6,0.0,0.04,0.36,0.0,0.0,0.4,0.347,0.653,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1020.jpg
587722983356039315,original,1021,587722983356039315,12:48:50.04,+00:06:59.2,37,0.946,0.0,0.0,0.027,0.027,0.0,0.027,0.933,0.039,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\1021.jpg
587722983356170385,original,1022,587722983356170385,12:49:51.59,+00:11:53.6,34,0.647,0.0,0.059,0.265,0.029,0.0,0.324,0.439,0.526,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1022.jpg
587722983356170440,original,1023,587722983356170440,12:50:19.06,+00:11:46.0,37,0.243,0.027,0.027,0.649,0.0,0.054,0.703,0.059,0.877,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1023.jpg
587722983356301467,original,1025,587722983356301467,12:51:29.79,+00:00:10.9,50,0.66,0.0,0.02,0.18,0.06,0.08,0.2,0.66,0.2,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1025.jpg
587722983356367045,original,1026,587722983356367045,12:52:02.13,+00:04:06.5,50,0.86,0.0,0.04,0.08,0.02,0.0,0.12,0.706,0.27,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1026.jpg
587722983356629128,original,1027,587722983356629128,12:54:05.38,+00:10:31.1,32,0.031,0.0,0.0,0.969,0.0,0.0,0.969,0.016,0.984,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1027.jpg
587722983356694717,original,1028,587722983356694717,12:54:52.04,+00:04:05.1,33,0.333,0.182,0.0,0.485,0.0,0.0,0.667,0.151,0.849,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1028.jpg
587722983356760343,original,1030,587722983356760343,12:55:39.70,+00:10:29.2,36,0.083,0.028,0.028,0.028,0.028,0.806,0.083,0.072,0.088,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1030.jpg
587722983357087828,original,1031,587722983357087828,12:58:36.75,+00:03:11.5,50,0.28,0.22,0.0,0.14,0.08,0.28,0.36,0.142,0.453,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1031.jpg
587722983357546644,original,1032,587722983357546644,13:02:27.71,+00:08:29.5,28,0.679,0.0,0.036,0.25,0.036,0.0,0.286,0.547,0.415,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1032.jpg
587722983357939897,original,1033,587722983357939897,13:06:24.16,+00:08:01.2,35,0.8,0.029,0.057,0.086,0.029,0.0,0.171,0.778,0.194,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1033.jpg
587722983358136509,original,1034,587722983358136509,13:08:06.25,+00:05:41.0,41,0.073,0.561,0.049,0.317,0.0,0.0,0.927,0.027,0.973,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1034.jpg
587722983358202002,original,1035,587722983358202002,13:08:39.70,+00:06:08.3,59,0.695,0.034,0.051,0.119,0.102,0.0,0.203,0.448,0.413,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1035.jpg
587722983358202043,original,1036,587722983358202043,13:08:49.76,+00:02:49.6,33,0.485,0.03,0.0,0.364,0.061,0.061,0.394,0.185,0.646,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1036.jpg
587722983358267585,original,1037,587722983358267585,13:09:22.94,+00:01:20.6,59,0.203,0.051,0.593,0.119,0.034,0.0,0.763,0.203,0.763,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1037.jpg
587722983358267609,original,1038,587722983358267609,13:09:31.49,+00:12:21.2,49,0.531,0.0,0.0,0.0,0.163,0.306,0.0,0.531,0.0,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1038.jpg
587722983358333168,original,1039,587722983358333168,13:09:41.26,+00:00:37.2,55,0.018,0.927,0.036,0.0,0.018,0.0,0.964,0.005,0.976,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1039.jpg
587722983358464104,original,1040,587722983358464104,13:10:44.71,+00:01:55.5,24,0.042,0.708,0.125,0.125,0.0,0.0,0.958,0.03,0.97,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1040.jpg
587722983358464155,original,1041,587722983358464155,13:10:54.77,+00:10:46.9,59,0.864,0.0,0.0,0.017,0.017,0.102,0.017,0.856,0.025,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\1041.jpg
587722983358464156,original,1042,587722983358464156,13:10:53.45,+00:10:51.5,54,0.426,0.0,0.074,0.352,0.056,0.093,0.426,0.14,0.657,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1042.jpg
587722983358464177,original,1043,587722983358464177,13:10:54.56,+00:03:50.3,40,0.85,0.0,0.0,0.125,0.025,0.0,0.125,0.763,0.21,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1043.jpg
587722983358464203,original,1044,587722983358464203,13:11:01.23,+00:03:10.9,37,0.081,0.784,0.0,0.081,0.054,0.0,0.865,0.022,0.921,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1044.jpg
587722983358464224,original,1045,587722983358464224,13:11:03.09,+00:03:07.8,33,0.818,0.0,0.03,0.03,0.121,0.0,0.061,0.787,0.09,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1045.jpg
587722983358529569,original,1046,587722983358529569,13:11:29.97,+00:08:57.7,29,0.966,0.0,0.0,0.0,0.034,0.0,0.0,0.966,0.0,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\1046.jpg
587722983358660832,original,1047,587722983358660832,13:12:45.48,+00:11:23.0,67,0.507,0.0,0.03,0.418,0.03,0.015,0.448,0.229,0.712,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1047.jpg
587722983358988438,original,1049,587722983358988438,13:15:53.55,+00:09:25.0,58,0.586,0.121,0.017,0.224,0.034,0.017,0.362,0.353,0.583,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1049.jpg
587722983359184961,original,1050,587722983359184961,13:17:30.49,+00:12:31.9,18,0.833,0.0,0.056,0.111,0.0,0.0,0.167,0.833,0.167,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\1050.jpg
587722983359381745,original,1051,587722983359381745,13:19:36.40,+00:10:54.0,48,0.521,0.062,0.021,0.146,0.25,0.0,0.229,0.521,0.229,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1051.jpg
587722983359447251,original,1052,587722983359447251,13:20:08.87,+00:08:38.3,28,0.321,0.464,0.071,0.107,0.036,0.0,0.643,0.126,0.832,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1052.jpg
587722983359578208,original,1053,587722983359578208,13:21:23.26,+00:04:41.4,62,0.177,0.032,0.452,0.274,0.016,0.048,0.758,0.08,0.851,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1053.jpg
587722983359643751,original,1054,587722983359643751,13:21:51.91,+00:08:21.8,29,0.724,0.0,0.034,0.241,0.0,0.0,0.276,0.724,0.276,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1054.jpg
587722983359709394,original,1055,587722983359709394,13:22:42.24,+00:01:32.6,23,0.87,0.0,0.0,0.043,0.087,0.0,0.043,0.826,0.083,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1055.jpg
587722983359709399,original,1056,587722983359709399,13:22:42.69,+00:09:33.5,37,0.865,0.027,0.027,0.027,0.027,0.027,0.081,0.865,0.081,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\1056.jpg
587722983359840441,original,1057,587722983359840441,13:23:28.88,+00:04:37.1,25,0.88,0.0,0.0,0.08,0.04,0.0,0.08,0.785,0.17,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1057.jpg
587722983359840456,original,1058,587722983359840456,13:23:32.02,+00:04:18.5,40,0.4,0.25,0.025,0.3,0.025,0.0,0.575,0.198,0.773,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1058.jpg
587722983359905919,original,1059,587722983359905919,13:23:56.87,+00:10:49.8,55,0.891,0.0,0.018,0.036,0.036,0.018,0.055,0.885,0.061,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\1059.jpg
587722983360036986,original,1061,587722983360036986,13:25:17.96,+00:00:41.4,24,0.875,0.0,0.0,0.125,0.0,0.0,0.125,0.848,0.152,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1061.jpg
587722983360102595,original,1062,587722983360102595,13:26:07.33,+00:09:41.3,54,0.852,0.037,0.0,0.019,0.093,0.0,0.056,0.757,0.136,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1062.jpg
587722983360102596,original,1063,587722983360102596,13:26:07.58,+00:10:48.9,23,0.87,0.043,0.0,0.087,0.0,0.0,0.13,0.632,0.368,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1063.jpg
587722983360102619,original,1064,587722983360102619,13:26:10.35,+00:05:08.0,30,0.867,0.033,0.0,0.067,0.033,0.0,0.1,0.867,0.1,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1064.jpg
587722983360102630,original,1065,587722983360102630,13:26:11.93,+00:08:35.3,50,0.12,0.02,0.78,0.06,0.02,0.0,0.86,0.031,0.947,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1065.jpg
587722983360168007,original,1066,587722983360168007,13:26:33.82,+00:09:24.5,26,0.615,0.038,0.038,0.231,0.038,0.038,0.308,0.394,0.511,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1066.jpg
587722983360168115,original,1067,587722983360168115,13:26:24.48,+00:02:11.2,72,0.625,0.0,0.028,0.333,0.014,0.0,0.361,0.395,0.588,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1067.jpg
587722983360364647,original,1068,587722983360364647,13:28:36.64,+00:05:57.4,62,0.823,0.016,0.0,0.0,0.065,0.097,0.016,0.792,0.039,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1068.jpg
587722983360364686,original,1069,587722983360364686,13:28:06.57,+00:04:09.6,55,0.873,0.036,0.0,0.055,0.036,0.0,0.091,0.746,0.21,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1069.jpg
587722983360364713,original,1070,587722983360364713,13:28:11.63,+00:03:11.8,57,0.93,0.035,0.018,0.0,0.018,0.0,0.053,0.927,0.055,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\1070.jpg
587722983360364722,original,1071,587722983360364722,13:28:11.98,+00:05:54.7,65,0.092,0.508,0.0,0.385,0.015,0.0,0.892,0.05,0.934,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1071.jpg
587722983360430255,original,1072,587722983360430255,13:28:49.13,+00:02:58.2,56,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1072.jpg
587722983360430279,original,1073,587722983360430279,13:28:50.05,+00:03:38.9,42,0.0,0.952,0.0,0.048,0.0,0.0,1.0,0.0,1.0,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1073.jpg
587722983360430344,original,1074,587722983360430344,13:29:07.49,+00:12:08.2,27,0.963,0.037,0.0,0.0,0.0,0.0,0.037,0.923,0.077,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1074.jpg
587722983360561311,original,1075,587722983360561311,13:29:55.80,+00:07:07.9,32,0.125,0.219,0.125,0.531,0.0,0.0,0.875,0.063,0.937,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1075.jpg
587722983360626848,original,1076,587722983360626848,13:30:55.01,+00:07:19.5,22,0.818,0.0,0.0,0.136,0.045,0.0,0.136,0.818,0.136,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\1076.jpg
587722983361020018,original,1077,587722983361020018,13:34:38.88,+00:09:14.6,64,0.312,0.094,0.016,0.297,0.062,0.219,0.406,0.181,0.508,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1077.jpg
587722983361020041,original,1078,587722983361020041,13:34:07.49,+00:01:43.9,29,0.69,0.138,0.034,0.069,0.069,0.0,0.241,0.335,0.551,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1078.jpg
587722983361020113,original,1079,587722983361020113,13:34:29.95,+00:11:11.7,34,0.706,0.0,0.059,0.059,0.176,0.0,0.118,0.706,0.118,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1079.jpg
587722983361085535,original,1080,587722983361085535,13:35:10.85,+00:12:26.0,43,0.953,0.0,0.0,0.047,0.0,0.0,0.047,0.847,0.153,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1080.jpg
587722983361151120,original,1081,587722983361151120,13:35:26.00,+00:07:57.7,23,0.348,0.043,0.087,0.261,0.261,0.0,0.391,0.246,0.477,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1081.jpg
587722983361413323,original,1082,587722983361413323,13:38:06.45,+00:01:13.8,24,0.125,0.333,0.042,0.458,0.0,0.042,0.833,0.078,0.879,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1082.jpg
587722983361413362,original,1083,587722983361413362,13:38:15.55,+00:03:55.8,24,0.417,0.0,0.042,0.542,0.0,0.0,0.583,0.127,0.873,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1083.jpg
587722983361609774,original,1084,587722983361609774,13:39:40.59,+00:02:24.6,61,0.0,0.033,0.967,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1084.jpg
587722983361610010,original,1085,587722983361610010,13:39:53.33,+00:02:54.0,22,0.0,0.045,0.955,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1085.jpg
587722983361675518,original,1087,587722983361675518,13:40:31.79,+00:00:22.7,20,0.0,0.05,0.05,0.9,0.0,0.0,1.0,0.0,1.0,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1087.jpg
587722983361937655,original,1088,587722983361937655,13:42:56.84,+00:03:23.2,25,0.96,0.0,0.0,0.0,0.04,0.0,0.0,0.96,0.0,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\1088.jpg
587722983362003201,original,1089,587722983362003201,13:43:29.31,+00:11:40.5,57,0.895,0.0,0.035,0.053,0.018,0.0,0.088,0.857,0.125,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1089.jpg
587722983362068560,original,1090,587722983362068560,13:43:51.06,+00:04:34.8,39,0.667,0.026,0.026,0.051,0.205,0.026,0.103,0.667,0.103,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1090.jpg
587722983362134187,original,1091,587722983362134187,13:44:44.62,+00:10:32.3,33,0.03,0.939,0.03,0.0,0.0,0.0,0.97,0.03,0.97,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1091.jpg
587722983362134277,original,1092,587722983362134277,13:44:28.34,+00:01:46.8,26,0.962,0.0,0.0,0.038,0.0,0.0,0.038,0.927,0.073,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\1092.jpg
587722983362134299,original,1093,587722983362134299,13:44:33.68,+00:09:53.7,38,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1093.jpg
587722983362134316,original,1094,587722983362134316,13:44:39.15,+00:02:25.0,33,0.939,0.0,0.03,0.0,0.03,0.0,0.03,0.914,0.055,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1094.jpg
587722983362134344,original,1095,587722983362134344,13:44:44.16,+00:06:49.0,59,0.932,0.034,0.0,0.0,0.034,0.0,0.034,0.869,0.093,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1095.jpg
587722983362134351,original,1096,587722983362134351,13:44:45.61,+00:05:32.0,64,0.906,0.0,0.016,0.047,0.031,0.0,0.062,0.903,0.066,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\1096.jpg
587722983362134374,original,1097,587722983362134374,13:44:48.62,+00:04:18.3,20,0.55,0.0,0.0,0.45,0.0,0.0,0.45,0.55,0.45,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1097.jpg
587722983362199556,original,1098,587722983362199556,13:44:52.91,+00:05:20.2,30,0.167,0.0,0.6,0.133,0.1,0.0,0.733,0.07,0.823,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1098.jpg
587722983362199637,original,1100,587722983362199637,13:45:12.47,+00:06:29.2,39,0.897,0.0,0.026,0.026,0.026,0.026,0.051,0.806,0.134,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1100.jpg
587722983362199875,original,1101,587722983362199875,13:45:21.08,+00:08:52.6,26,0.654,0.0,0.115,0.231,0.0,0.0,0.346,0.294,0.706,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1101.jpg
587722983362199885,original,1102,587722983362199885,13:45:21.74,+00:01:44.4,62,0.887,0.0,0.0,0.081,0.032,0.0,0.081,0.826,0.14,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1102.jpg
587722983362789601,original,1103,587722983362789601,13:50:29.63,+00:04:36.8,23,0.739,0.0,0.087,0.043,0.13,0.0,0.13,0.733,0.137,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1103.jpg
587722983362920691,original,1104,587722983362920691,13:52:00.80,+00:11:07.7,30,0.667,0.033,0.1,0.133,0.067,0.0,0.267,0.477,0.444,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1104.jpg
587722983363117092,original,1106,587722983363117092,13:53:26.26,+00:02:48.0,62,0.935,0.016,0.0,0.016,0.016,0.016,0.032,0.935,0.032,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\1106.jpg
587722983363117214,original,1107,587722983363117214,13:53:42.80,+00:03:39.1,31,0.226,0.0,0.032,0.71,0.032,0.0,0.742,0.226,0.742,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1107.jpg
587722983363117269,original,1108,587722983363117269,13:53:18.67,+00:01:19.9,30,0.9,0.033,0.0,0.067,0.0,0.0,0.1,0.81,0.19,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1108.jpg
587722983363117392,original,1109,587722983363117392,13:53:45.20,+00:09:30.5,45,0.356,0.089,0.111,0.4,0.044,0.0,0.6,0.196,0.755,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1109.jpg
587722983363248237,original,1110,587722983363248237,13:54:44.65,+00:06:54.4,39,0.0,0.897,0.0,0.0,0.0,0.103,0.897,0.0,0.897,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1110.jpg
587722983363313812,original,1111,587722983363313812,13:55:06.97,+00:04:55.8,30,0.5,0.033,0.267,0.133,0.067,0.0,0.433,0.323,0.601,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1111.jpg
587722983363313823,original,1112,587722983363313823,13:55:08.59,+00:09:46.4,32,0.781,0.0,0.062,0.156,0.0,0.0,0.219,0.781,0.219,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1112.jpg
587722983363313827,original,1113,587722983363313827,13:55:08.80,+00:08:37.7,60,0.933,0.0,0.017,0.0,0.05,0.0,0.017,0.913,0.035,0,1,0,C:\Users\nandh\Downloads\images_gz2\images\1113.jpg
587722983363444951,original,1114,587722983363444951,13:56:20.61,+00:06:21.2,48,0.104,0.833,0.021,0.042,0.0,0.0,0.896,0.026,0.974,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1114.jpg
587722983363445035,original,1115,587722983363445035,13:56:46.45,+00:02:19.2,34,0.0,0.0,0.971,0.0,0.0,0.029,0.971,0.0,0.971,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1115.jpg
587722983363707039,original,1116,587722983363707039,13:58:46.03,+00:01:21.9,32,0.156,0.0,0.031,0.781,0.0,0.031,0.812,0.056,0.911,1,0,0,C:\Users\nandh\Downloads\images_gz2\images\1116.jpg
587722983363772443,original,1117,587722983363772443,13:59:22.12,+00:12:23.8,19,0.368,0.211,0.105,0.263,0.053,0.0,0.579,0.363,0.584,0,0,1,C:\Users\nandh\Downloads\images_gz2\images\1117.jpg
